DATA_INIZIO,3000001_111,3000001_5
2010-01-01,33.0,
2010-01-02,4.0,
2010-01-03,15.0,
2010-01-04,,
2010-01-05,,
2010-01-06,,
2010-01-07,,
2010-01-08,,
2010-01-09,,
2010-01-10,,
2010-01-11,,
2010-01-12,46.0,
2010-01-13,60.0,
2010-01-14,54.0,
2010-01-15,67.0,
2010-01-16,47.0,
2010-01-17,64.0,
2010-01-18,62.0,
2010-01-19,41.0,
2010-01-20,44.0,
2010-01-21,60.0,
2010-01-22,53.0,
2010-01-23,55.0,
2010-01-24,60.0,
2010-01-25,80.0,
2010-01-26,67.0,
2010-01-27,39.0,
2010-01-28,37.0,
2010-01-29,67.0,
2010-01-30,81.0,
2010-01-31,24.0,
2010-02-01,30.0,
2010-02-02,39.0,
2010-02-03,42.0,
2010-02-04,62.0,
2010-02-05,77.0,
2010-02-06,14.0,
2010-02-07,23.0,
2010-02-08,27.0,
2010-02-09,51.0,
2010-02-10,,
2010-02-11,27.0,
2010-02-12,27.0,
2010-02-13,33.0,
2010-02-14,50.0,
2010-02-15,64.0,
2010-02-16,68.0,
2010-02-17,47.0,
2010-02-18,33.0,
2010-02-19,20.0,
2010-02-20,8.0,
2010-02-21,15.0,
2010-02-22,27.0,
2010-02-23,24.0,
2010-02-24,32.0,
2010-02-25,33.0,
2010-02-26,27.0,
2010-02-27,9.0,
2010-02-28,36.0,
2010-03-01,29.0,
2010-03-02,26.0,
2010-03-03,23.0,
2010-03-04,8.0,
2010-03-05,15.0,
2010-03-06,14.0,
2010-03-07,25.0,
2010-03-08,27.0,
2010-03-09,20.0,
2010-03-10,16.0,
2010-03-11,33.0,
2010-03-12,43.0,
2010-03-13,43.0,
2010-03-14,43.0,
2010-03-15,32.0,
2010-03-16,13.0,
2010-03-17,18.0,
2010-03-18,17.0,
2010-03-19,19.0,
2010-03-20,25.0,
2010-03-21,63.0,
2010-03-22,58.0,
2010-03-23,23.0,
2010-03-24,19.0,
2010-03-25,35.0,
2010-03-26,22.0,
2010-03-27,5.0,
2010-03-28,6.0,
2010-03-29,15.0,
2010-03-30,5.0,
2010-03-31,8.0,
2010-04-01,6.0,
2010-04-02,11.0,
2010-04-03,19.0,
2010-04-04,18.0,
2010-04-05,6.0,
2010-04-06,8.0,
2010-04-07,16.0,
2010-04-08,18.0,
2010-04-09,20.0,
2010-04-10,17.0,
2010-04-11,5.0,
2010-04-12,10.0,
2010-04-13,11.0,
2010-04-14,10.0,
2010-04-15,15.0,
2010-04-16,15.0,
2010-04-17,14.0,
2010-04-18,9.0,
2010-04-19,7.0,
2010-04-20,12.0,
2010-04-21,13.0,
2010-04-22,18.0,
2010-04-23,27.0,
2010-04-24,5.0,
2010-04-25,16.0,
2010-04-26,23.0,
2010-04-27,24.0,
2010-04-28,19.0,
2010-04-29,12.0,
2010-04-30,10.0,
2010-05-01,11.0,
2010-05-02,10.0,
2010-05-03,10.0,
2010-05-04,9.0,
2010-05-05,2.0,
2010-05-06,3.0,
2010-05-07,8.0,
2010-05-08,7.0,
2010-05-09,10.0,
2010-05-10,23.0,
2010-05-11,12.0,
2010-05-12,8.0,
2010-05-13,8.0,
2010-05-14,3.0,
2010-05-15,7.0,
2010-05-16,5.0,
2010-05-17,10.0,
2010-05-18,12.0,
2010-05-19,16.0,
2010-05-20,13.0,
2010-05-21,7.0,
2010-05-22,4.0,
2010-05-23,5.0,
2010-05-24,6.0,
2010-05-25,5.0,
2010-05-26,,
2010-05-27,8.0,
2010-05-28,16.0,
2010-05-29,11.0,
2010-05-30,9.0,
2010-05-31,5.0,
2010-06-01,4.0,
2010-06-02,4.0,
2010-06-03,6.0,
2010-06-04,6.0,
2010-06-05,9.0,
2010-06-06,9.0,
2010-06-07,10.0,
2010-06-08,8.0,
2010-06-09,9.0,
2010-06-10,11.0,
2010-06-11,19.0,
2010-06-12,16.0,
2010-06-13,9.0,
2010-06-14,5.0,
2010-06-15,16.0,
2010-06-16,4.0,
2010-06-17,5.0,
2010-06-18,4.0,
2010-06-19,1.0,
2010-06-20,1.0,
2010-06-21,2.0,
2010-06-22,6.0,
2010-06-23,11.0,
2010-06-24,13.0,
2010-06-25,12.0,
2010-06-26,17.0,
2010-06-27,16.0,
2010-06-28,15.0,
2010-06-29,17.0,
2010-06-30,18.0,
2010-07-01,17.0,
2010-07-02,19.0,
2010-07-03,19.0,
2010-07-04,16.0,
2010-07-05,20.0,
2010-07-06,17.0,
2010-07-07,12.0,
2010-07-08,11.0,
2010-07-09,18.0,
2010-07-10,28.0,
2010-07-11,22.0,
2010-07-12,16.0,
2010-07-13,12.0,
2010-07-14,12.0,
2010-07-15,13.0,
2010-07-16,21.0,
2010-07-17,15.0,
2010-07-18,8.0,
2010-07-19,6.0,
2010-07-20,9.0,
2010-07-21,14.0,
2010-07-22,10.0,
2010-07-23,10.0,
2010-07-24,4.0,
2010-07-25,4.0,
2010-07-26,6.0,
2010-07-27,8.0,
2010-07-28,8.0,
2010-07-29,5.0,
2010-07-30,2.0,
2010-07-31,3.0,
2010-08-01,5.0,
2010-08-02,10.0,
2010-08-03,9.0,
2010-08-04,6.0,
2010-08-05,2.0,
2010-08-06,2.0,
2010-08-07,5.0,
2010-08-08,6.0,
2010-08-09,,
2010-08-10,16.0,
2010-08-11,16.0,
2010-08-12,17.0,
2010-08-13,10.0,
2010-08-14,5.0,
2010-08-15,2.0,
2010-08-16,3.0,
2010-08-17,4.0,
2010-08-18,9.0,
2010-08-19,13.0,
2010-08-20,19.0,
2010-08-21,21.0,
2010-08-22,14.0,
2010-08-23,8.0,
2010-08-24,7.0,
2010-08-25,13.0,
2010-08-26,16.0,
2010-08-27,6.0,
2010-08-28,8.0,
2010-08-29,1.0,
2010-08-30,4.0,
2010-08-31,5.0,
2010-09-01,7.0,
2010-09-02,10.0,
2010-09-03,9.0,
2010-09-04,10.0,
2010-09-05,12.0,
2010-09-06,16.0,
2010-09-07,16.0,
2010-09-08,18.0,
2010-09-09,7.0,
2010-09-10,6.0,
2010-09-11,8.0,
2010-09-12,10.0,
2010-09-13,10.0,
2010-09-14,9.0,
2010-09-15,5.0,
2010-09-16,8.0,
2010-09-17,6.0,
2010-09-18,11.0,
2010-09-19,4.0,
2010-09-20,7.0,
2010-09-21,15.0,
