DATA_INIZIO,7000002_5
2010-01-01,42.0
2010-01-02,20.0
2010-01-03,16.0
2010-01-04,34.0
2010-01-05,34.0
2010-01-06,26.0
2010-01-07,49.0
2010-01-08,26.0
2010-01-09,15.0
2010-01-10,22.0
2010-01-11,30.0
2010-01-12,54.0
2010-01-13,75.0
2010-01-14,58.0
2010-01-15,62.0
2010-01-16,54.0
2010-01-17,57.0
2010-01-18,72.0
2010-01-19,53.0
2010-01-20,42.0
2010-01-21,56.0
2010-01-22,63.0
2010-01-23,68.0
2010-01-24,70.0
2010-01-25,69.0
2010-01-26,60.0
2010-01-27,42.0
2010-01-28,39.0
2010-01-29,55.0
2010-01-30,82.0
2010-01-31,38.0
2010-02-01,30.0
2010-02-02,27.0
2010-02-03,54.0
2010-02-04,76.0
2010-02-05,95.0
2010-02-06,15.0
2010-02-07,24.0
2010-02-08,35.0
2010-02-09,53.0
2010-02-10,39.0
2010-02-11,24.0
2010-02-12,36.0
2010-02-13,43.0
2010-02-14,52.0
2010-02-15,75.0
2010-02-16,70.0
2010-02-17,58.0
2010-02-18,54.0
2010-02-19,33.0
2010-02-20,14.0
2010-02-21,15.0
2010-02-22,32.0
2010-02-23,35.0
2010-02-24,40.0
2010-02-25,53.0
2010-02-26,28.0
2010-02-27,28.0
2010-02-28,48.0
2010-03-01,51.0
2010-03-02,48.0
2010-03-03,53.0
2010-03-04,14.0
2010-03-05,24.0
2010-03-06,22.0
2010-03-07,29.0
2010-03-08,40.0
2010-03-09,27.0
2010-03-10,19.0
2010-03-11,31.0
2010-03-12,42.0
2010-03-13,45.0
2010-03-14,44.0
2010-03-15,53.0
2010-03-16,28.0
2010-03-17,30.0
2010-03-18,33.0
2010-03-19,36.0
2010-03-20,
2010-03-21,56.0
2010-03-22,54.0
2010-03-23,42.0
2010-03-24,45.0
2010-03-25,49.0
2010-03-26,31.0
2010-03-27,14.0
2010-03-28,14.0
2010-03-29,17.0
2010-03-30,20.0
2010-03-31,14.0
2010-04-01,13.0
2010-04-02,15.0
2010-04-03,22.0
2010-04-04,14.0
2010-04-05,6.0
2010-04-06,19.0
2010-04-07,24.0
2010-04-08,26.0
2010-04-09,24.0
2010-04-10,30.0
2010-04-11,12.0
2010-04-12,11.0
2010-04-13,10.0
2010-04-14,15.0
2010-04-15,21.0
2010-04-16,23.0
2010-04-17,22.0
2010-04-18,22.0
2010-04-19,17.0
2010-04-20,21.0
2010-04-21,17.0
2010-04-22,25.0
2010-04-23,27.0
2010-04-24,12.0
2010-04-25,24.0
2010-04-26,31.0
2010-04-27,28.0
2010-04-28,24.0
2010-04-29,22.0
2010-04-30,19.0
2010-05-01,15.0
2010-05-02,16.0
2010-05-03,11.0
2010-05-04,25.0
2010-05-05,16.0
2010-05-06,4.0
2010-05-07,8.0
2010-05-08,13.0
2010-05-09,14.0
2010-05-10,22.0
2010-05-11,19.0
2010-05-12,11.0
2010-05-13,11.0
2010-05-14,17.0
2010-05-15,12.0
2010-05-16,9.0
2010-05-17,17.0
2010-05-18,19.0
2010-05-19,26.0
2010-05-20,22.0
2010-05-21,13.0
2010-05-22,12.0
2010-05-23,12.0
2010-05-24,14.0
2010-05-25,
2010-05-26,12.0
2010-05-27,16.0
2010-05-28,21.0
2010-05-29,15.0
2010-05-30,11.0
2010-05-31,10.0
2010-06-01,11.0
2010-06-02,14.0
2010-06-03,12.0
2010-06-04,12.0
2010-06-05,16.0
2010-06-06,16.0
2010-06-07,12.0
2010-06-08,17.0
2010-06-09,18.0
2010-06-10,24.0
2010-06-11,27.0
2010-06-12,28.0
2010-06-13,24.0
2010-06-14,17.0
2010-06-15,
2010-06-16,
2010-06-17,13.0
2010-06-18,11.0
2010-06-19,8.0
2010-06-20,4.0
2010-06-21,8.0
2010-06-22,12.0
2010-06-23,17.0
2010-06-24,18.0
2010-06-25,23.0
2010-06-26,21.0
2010-06-27,
2010-06-28,23.0
2010-06-29,24.0
2010-06-30,23.0
2010-07-01,28.0
2010-07-02,31.0
2010-07-03,27.0
2010-07-04,24.0
2010-07-05,26.0
2010-07-06,23.0
2010-07-07,19.0
2010-07-08,21.0
2010-07-09,24.0
2010-07-10,26.0
2010-07-11,21.0
2010-07-12,25.0
2010-07-13,19.0
2010-07-14,24.0
2010-07-15,31.0
2010-07-16,32.0
2010-07-17,24.0
2010-07-18,21.0
2010-07-19,17.0
2010-07-20,22.0
2010-07-21,22.0
2010-07-22,29.0
2010-07-23,22.0
2010-07-24,13.0
2010-07-25,12.0
2010-07-26,15.0
2010-07-27,13.0
2010-07-28,14.0
2010-07-29,12.0
2010-07-30,8.0
2010-07-31,9.0
2010-08-01,8.0
2010-08-02,16.0
2010-08-03,20.0
2010-08-04,13.0
2010-08-05,14.0
2010-08-06,7.0
2010-08-07,11.0
2010-08-08,13.0
2010-08-09,18.0
2010-08-10,22.0
2010-08-11,20.0
2010-08-12,20.0
2010-08-13,18.0
2010-08-14,18.0
2010-08-15,11.0
2010-08-16,11.0
2010-08-17,14.0
2010-08-18,17.0
2010-08-19,19.0
2010-08-20,24.0
2010-08-21,26.0
2010-08-22,21.0
2010-08-23,17.0
2010-08-24,13.0
2010-08-25,23.0
2010-08-26,26.0
2010-08-27,16.0
2010-08-28,20.0
2010-08-29,9.0
2010-08-30,15.0
2010-08-31,15.0
2010-09-01,15.0
2010-09-02,20.0
2010-09-03,25.0
2010-09-04,21.0
2010-09-05,22.0
2010-09-06,21.0
2010-09-07,22.0
2010-09-08,17.0
2010-09-09,14.0
2010-09-10,15.0
2010-09-11,16.0
2010-09-12,16.0
2010-09-13,17.0
2010-09-14,18.0
2010-09-15,16.0
2010-09-16,15.0
2010-09-17,17.0
2010-09-18,21.0
2010-09-19,7.0
2010-09-20,15.0
2010-09-21,21.0
2010-09-22,25.0
2010-09-23,26.0
2010-09-24,36.0
2010-09-25,6.0
2010-09-26,7.0
2010-09-27,18.0
2010-09-28,19.0
2010-09-29,23.0
2010-09-30,23.0
2010-10-01,24.0
2010-10-02,34.0
2010-10-03,28.0
2010-10-04,29.0
2010-10-05,11.0
2010-10-06,17.0
2010-10-07,29.0
2010-10-08,27.0
2010-10-09,28.0
2010-10-10,26.0
2010-10-11,31.0
2010-10-12,39.0
2010-10-13,43.0
2010-10-14,55.0
2010-10-15,60.0
2010-10-16,46.0
2010-10-17,9.0
2010-10-18,18.0
2010-10-19,19.0
2010-10-20,32.0
2010-10-21,35.0
2010-10-22,51.0
2010-10-23,74.0
2010-10-24,62.0
2010-10-25,12.0
2010-10-26,10.0
2010-10-27,20.0
2010-10-28,34.0
2010-10-29,29.0
2010-10-30,58.0
2010-10-31,26.0
2010-11-01,28.0
2010-11-02,21.0
2010-11-03,23.0
2010-11-04,41.0
2010-11-05,47.0
2010-11-06,43.0
2010-11-07,12.0
2010-11-08,
2010-11-09,10.0
2010-11-10,12.0
2010-11-11,43.0
2010-11-12,46.0
2010-11-13,70.0
2010-11-14,47.0
2010-11-15,39.0
2010-11-16,20.0
