DATA_INIZIO,4000155_5,4000155_111
2010-01-01,26.7,17.1
2010-01-02,26.7,17.1
2010-01-03,26.7,17.1
2010-01-04,26.7,17.1
2010-01-05,26.7,17.1
2010-01-06,26.7,17.1
2010-01-07,26.7,17.1
2010-01-08,26.7,17.1
2010-01-09,26.7,17.1
2010-01-10,26.7,17.1
2010-01-11,26.7,17.1
2010-01-12,26.7,17.1
2010-01-13,26.7,17.1
2010-01-14,26.7,17.1
2010-01-15,26.7,17.1
2010-01-16,26.7,17.1
2010-01-17,26.7,17.1
2010-01-18,26.7,17.1
2010-01-19,26.7,17.1
2010-01-20,26.7,17.1
2010-01-21,26.7,17.1
2010-01-22,26.7,17.1
2010-01-23,26.7,17.1
2010-01-24,26.7,17.1
2010-01-25,26.7,17.1
2010-01-26,26.7,17.1
2010-01-27,26.7,17.1
2010-01-28,26.7,17.1
2010-01-29,26.7,17.1
2010-01-30,26.7,17.1
2010-01-31,26.7,17.1
2010-02-01,26.7,17.1
2010-02-02,26.7,17.1
2010-02-03,26.7,17.1
2010-02-04,26.7,17.1
2010-02-05,26.7,17.1
2010-02-06,26.7,17.1
2010-02-07,26.7,17.1
2010-02-08,26.7,17.1
2010-02-09,26.7,17.1
2010-02-10,26.7,17.1
2010-02-11,26.7,17.1
2010-02-12,26.7,17.1
2010-02-13,26.7,17.1
2010-02-14,26.7,17.1
2010-02-15,26.7,17.1
2010-02-16,26.7,17.1
2010-02-17,26.7,17.1
2010-02-18,41.0,28.0
2010-02-19,27.0,17.2
2010-02-20,11.0,6.6
2010-02-21,22.0,14.6
2010-02-22,38.0,30.8
2010-02-23,35.0,23.0
2010-02-24,49.0,30.0
2010-02-25,48.0,33.6
2010-02-26,39.0,28.4
2010-02-27,18.0,10.2
2010-02-28,46.0,32.2
2010-03-01,44.0,35.0
2010-03-02,40.0,25.2
2010-03-03,35.0,23.0
2010-03-04,14.0,8.6
2010-03-05,23.0,14.2
2010-03-06,23.0,14.2
2010-03-07,27.0,17.2
2010-03-08,35.0,23.0
2010-03-09,25.0,15.8
2010-03-10,13.0,6.4
2010-03-11,28.0,17.6
2010-03-12,44.0,35.0
2010-03-13,41.0,28.0
2010-03-14,54.0,33.2
2010-03-15,46.0,32.2
2010-03-16,24.0,15.2
2010-03-17,34.0,22.4
2010-03-18,26.0,16.6
2010-03-19,28.0,17.6
2010-03-20,38.0,30.8
2010-03-21,82.0,54.0
2010-03-22,72.0,51.8
2010-03-23,48.0,33.6
2010-03-24,35.0,23.0
2010-03-25,51.0,31.4
2010-03-26,37.0,27.8
2010-03-27,11.0,6.6
2010-03-28,9.0,5.2
2010-03-29,22.0,14.6
2010-03-30,14.0,8.6
2010-03-31,13.0,6.4
2010-04-01,18.0,10.2
2010-04-02,16.0,10.8
2010-04-03,26.0,16.6
2010-04-04,27.0,17.2
2010-04-05,8.0,3.6
2010-04-06,13.0,6.4
2010-04-07,25.0,15.8
2010-04-08,26.0,16.6
2010-04-09,28.0,17.6
2010-04-10,27.0,17.2
2010-04-11,10.0,5.6
2010-04-12,14.0,8.6
2010-04-13,18.0,10.2
2010-04-14,14.0,8.6
2010-04-15,21.0,13.6
2010-04-16,22.0,14.6
2010-04-17,22.0,14.6
2010-04-18,18.0,10.2
2010-04-19,18.0,10.2
2010-04-20,24.0,15.2
2010-04-21,22.0,14.6
2010-04-22,28.0,17.6
2010-04-23,36.0,23.0
2010-04-24,13.0,6.4
2010-04-25,23.0,14.2
2010-04-26,30.0,20.6
2010-04-27,32.0,18.2
2010-04-28,27.0,17.2
2010-04-29,16.0,10.8
2010-04-30,12.0,6.0
2010-05-01,12.0,6.0
2010-05-02,9.0,5.2
2010-05-03,16.0,10.8
2010-05-04,12.0,6.0
2010-05-05,8.0,3.6
2010-05-06,14.0,8.6
2010-05-07,26.7,17.1
2010-05-08,14.0,8.6
2010-05-09,14.0,8.6
2010-05-10,26.7,17.1
2010-05-11,26.7,17.1
2010-05-12,24.0,15.2
2010-05-13,19.0,10.6
2010-05-14,13.0,6.4
2010-05-15,14.0,8.6
2010-05-16,9.0,5.2
2010-05-17,26.7,17.1
2010-05-18,26.7,17.1
2010-05-19,26.7,17.1
2010-05-20,25.0,15.8
2010-05-21,14.0,8.6
2010-05-22,12.0,6.0
2010-05-23,11.0,6.6
2010-05-24,15.0,9.0
2010-05-25,13.0,6.4
2010-05-26,9.0,5.2
2010-05-27,14.0,8.6
2010-05-28,22.0,14.6
2010-05-29,20.0,12.0
2010-05-30,15.0,9.0
2010-05-31,10.0,5.6
2010-06-01,9.0,5.2
2010-06-02,6.0,3.0
2010-06-03,16.0,10.8
2010-06-04,12.0,6.0
2010-06-05,17.0,10.2
2010-06-06,15.0,9.0
2010-06-07,19.0,10.6
2010-06-08,14.0,8.6
2010-06-09,15.0,9.0
2010-06-10,21.0,13.6
2010-06-11,30.0,20.6
2010-06-12,31.0,16.8
2010-06-13,25.0,15.8
2010-06-14,11.0,6.6
2010-06-15,19.0,10.6
2010-06-16,9.0,5.2
2010-06-17,13.0,6.4
2010-06-18,8.0,3.6
2010-06-19,6.0,3.0
2010-06-20,1.0,1.6
2010-06-21,5.0,3.0
2010-06-22,11.0,6.6
2010-06-23,17.0,10.2
2010-06-24,18.0,10.2
2010-06-25,18.0,10.2
2010-06-26,22.0,14.6
2010-06-27,19.0,10.6
2010-06-28,24.0,15.2
2010-06-29,27.0,17.2
2010-06-30,24.0,15.2
2010-07-01,24.0,15.2
2010-07-02,30.0,20.6
2010-07-03,24.0,15.2
2010-07-04,19.0,10.6
2010-07-05,25.0,15.8
2010-07-06,24.0,15.2
2010-07-07,22.0,14.6
2010-07-08,20.0,12.0
2010-07-09,28.0,17.6
2010-07-10,13.0,6.4
2010-07-11,26.7,17.1
2010-07-12,26.7,17.1
2010-07-13,25.0,15.8
2010-07-14,31.0,16.8
2010-07-15,28.0,17.6
2010-07-16,26.0,16.6
2010-07-17,26.0,16.6
2010-07-18,14.0,8.6
2010-07-19,12.0,6.0
2010-07-20,17.0,10.2
2010-07-21,22.0,14.6
2010-07-22,19.0,10.6
2010-07-23,18.0,10.2
2010-07-24,9.0,5.2
2010-07-25,8.0,3.6
2010-07-26,26.7,17.1
2010-07-27,26.7,17.1
2010-07-28,14.0,8.6
2010-07-29,14.0,8.6
2010-07-30,9.0,5.2
2010-07-31,8.0,3.6
2010-08-01,7.0,4.0
2010-08-02,15.0,9.0
2010-08-03,14.0,8.6
2010-08-04,11.0,6.6
2010-08-05,8.0,3.6
2010-08-06,6.0,3.0
2010-08-07,9.0,5.2
2010-08-08,10.0,5.6
2010-08-09,17.0,10.2
2010-08-10,18.0,10.2
2010-08-11,15.0,9.0
2010-08-12,19.0,10.6
2010-08-13,13.0,6.4
2010-08-14,14.0,8.6
2010-08-15,10.0,5.6
2010-08-16,8.0,3.6
2010-08-17,10.0,5.6
2010-08-18,14.0,8.6
2010-08-19,18.0,10.2
2010-08-20,19.0,10.6
2010-08-21,24.0,15.2
2010-08-22,17.0,10.2
2010-08-23,11.0,6.6
2010-08-24,13.0,6.4
2010-08-25,17.0,10.2
2010-08-26,23.0,14.2
2010-08-27,14.0,8.6
2010-08-28,16.0,10.8
2010-08-29,5.0,3.0
2010-08-30,12.0,6.0
2010-08-31,9.0,5.2
2010-09-01,12.0,6.0
2010-09-02,17.0,10.2
2010-09-03,17.0,10.2
2010-09-04,17.0,10.2
2010-09-05,19.0,10.6
2010-09-06,22.0,14.6
2010-09-07,24.0,15.2
2010-09-08,24.0,15.2
2010-09-09,13.0,6.4
2010-09-10,10.0,5.6
2010-09-11,11.0,6.6
2010-09-12,11.0,6.6
2010-09-13,15.0,9.0
2010-09-14,14.0,8.6
2010-09-15,12.0,6.0
2010-09-16,13.0,6.4
2010-09-17,18.0,10.2
2010-09-18,17.0,10.2
2010-09-19,6.0,3.0
2010-09-20,11.0,6.6
2010-09-21,24.0,15.2
2010-09-22,26.0,16.6
2010-09-23,18.0,10.2
2010-09-24,27.0,17.2
2010-09-25,4.0,2.2
2010-09-26,4.0,2.2
2010-09-27,10.0,5.6
2010-09-28,11.0,6.6
2010-09-29,20.0,12.0
2010-09-30,22.0,14.6
2010-10-01,38.0,30.8
2010-10-02,42.0,28.4
2010-10-03,40.0,25.2
2010-10-04,29.0,20.8
2010-10-05,16.0,10.8
2010-10-06,15.0,9.0
2010-10-07,26.0,16.6
2010-10-08,23.0,14.2
2010-10-09,20.0,12.0
2010-10-10,21.0,13.6
2010-10-11,33.0,20.4
2010-10-12,35.0,23.0
2010-10-13,49.0,30.0
2010-10-14,46.0,32.2
2010-10-15,54.0,33.2
2010-10-16,51.0,31.4
2010-10-17,11.0,6.6
2010-10-18,18.0,10.2
2010-10-19,20.0,12.0
2010-10-20,18.0,10.2
2010-10-21,31.0,16.8
2010-10-22,50.0,36.6
2010-10-23,64.0,40.6
2010-10-24,91.0,69.8
2010-10-25,16.0,10.8
2010-10-26,10.0,5.6
2010-10-27,19.0,10.6
2010-10-28,31.0,16.8
2010-10-29,33.0,20.4
2010-10-30,52.0,35.8
2010-10-31,43.0,29.6
2010-11-01,18.0,10.2
2010-11-02,18.0,10.2
2010-11-03,22.0,14.6
2010-11-04,42.0,28.4
2010-11-05,51.0,31.4
2010-11-06,42.0,28.4
2010-11-07,37.0,27.8
2010-11-08,4.0,2.2
2010-11-09,19.0,10.6
2010-11-10,25.0,15.8
2010-11-11,43.0,29.6
2010-11-12,42.0,28.4
2010-11-13,61.0,44.2
2010-11-14,54.0,33.2
2010-11-15,37.0,27.8
2010-11-16,15.0,9.0
2010-11-17,18.0,10.2
2010-11-18,33.0,20.4
2010-11-19,31.0,16.8
2010-11-20,39.0,28.4
2010-11-21,27.0,17.2
2010-11-22,20.0,12.0
2010-11-23,22.0,14.6
2010-11-24,30.0,20.6
2010-11-25,47.0,32.0
2010-11-26,23.0,14.2
2010-11-27,22.0,14.6
2010-11-28,27.0,17.2
2010-11-29,27.0,17.2
2010-11-30,33.0,20.4
2010-12-01,20.0,12.0
2010-12-02,30.0,20.6
2010-12-03,25.0,15.8
2010-12-04,24.0,15.2
2010-12-05,29.0,20.8
2010-12-06,34.0,22.4
2010-12-07,21.0,13.6
2010-12-08,20.0,12.0
2010-12-09,19.0,10.6
2010-12-10,17.0,10.2
2010-12-11,28.0,17.6
2010-12-12,45.0,32.2
2010-12-13,36.0,23.0
2010-12-14,46.0,32.2
2010-12-15,41.0,28.0
2010-12-16,53.0,35.2
2010-12-17,51.0,31.4
2010-12-18,50.0,36.6
2010-12-19,48.0,33.6
2010-12-20,52.0,35.8
2010-12-21,64.0,40.6
2010-12-22,42.0,28.4
2010-12-23,19.0,10.6
2010-12-24,18.0,10.2
2010-12-25,17.0,10.2
2010-12-26,14.0,8.6
2010-12-27,27.0,17.2
2010-12-28,51.0,31.4
2010-12-29,57.0,37.8
2010-12-30,65.0,48.0
2010-12-31,80.0,59.0
2011-01-01,85.0,63.0
2011-01-02,79.0,57.6
2011-01-03,45.0,32.2
2011-01-04,34.0,22.4
2011-01-05,67.0,41.6
2011-01-06,56.0,35.6
2011-01-07,54.0,33.2
2011-01-08,55.0,41.0
2011-01-09,59.0,45.2
2011-01-10,37.0,27.8
2011-01-11,23.0,14.2
2011-01-12,44.0,35.0
2011-01-13,43.0,29.6
2011-01-14,53.0,35.2
2011-01-15,38.0,30.8
