DATA_INIZIO,7000024_8,7000024_9,7000024_38
2010-01-01 00:00:00,53.0,67.0,9.0
2010-01-01 01:00:00,56.0,79.0,15.0
2010-01-01 02:00:00,55.0,82.0,18.0
2010-01-01 03:00:00,52.0,79.0,18.0
2010-01-01 04:00:00,28.9,73.2,17.6
2010-01-01 05:00:00,49.0,81.0,20.0
2010-01-01 06:00:00,42.0,58.0,10.0
2010-01-01 07:00:00,41.0,88.0,30.0
2010-01-01 08:00:00,39.0,66.0,18.0
2010-01-01 09:00:00,40.0,71.0,20.0
2010-01-01 10:00:00,43.0,71.0,18.0
2010-01-01 11:00:00,47.0,65.0,12.0
2010-01-01 12:00:00,52.0,78.0,17.0
2010-01-01 13:00:00,51.0,75.0,16.0
2010-01-01 14:00:00,48.0,61.0,9.0
2010-01-01 15:00:00,52.0,69.0,11.0
2010-01-01 16:00:00,50.0,60.0,7.0
2010-01-01 17:00:00,47.0,56.0,6.0
2010-01-01 18:00:00,51.0,81.0,20.0
2010-01-01 19:00:00,56.0,120.0,42.0
2010-01-01 20:00:00,52.0,81.0,19.0
2010-01-01 21:00:00,42.0,52.0,7.0
2010-01-01 22:00:00,34.0,35.0,1.0
2010-01-01 23:00:00,26.0,26.0,0.0
2010-01-02 00:00:00,20.0,20.0,0.0
2010-01-02 01:00:00,18.0,18.0,0.0
2010-01-02 02:00:00,19.0,19.0,0.0
2010-01-02 03:00:00,13.0,13.0,0.0
2010-01-02 04:00:00,28.9,73.2,17.6
2010-01-02 05:00:00,29.0,38.0,6.0
2010-01-02 06:00:00,36.0,55.0,13.0
2010-01-02 07:00:00,38.0,54.0,10.0
2010-01-02 08:00:00,37.0,58.0,14.0
2010-01-02 09:00:00,48.0,141.0,61.0
2010-01-02 10:00:00,57.0,189.0,86.0
2010-01-02 11:00:00,64.0,149.0,56.0
2010-01-02 12:00:00,53.0,88.0,22.0
2010-01-02 13:00:00,47.0,60.0,8.0
2010-01-02 14:00:00,49.0,68.0,12.0
